1,2015,06,08,16,38,2015,11,18,20,00
2,2015,01,26,14,44,2015,06,06,20,00
3,2015,07,30,15,16,2015,05,31,20,00
4,2015,04,18,16,43,2015,10,27,20,00
5,2015,07,28,14,32,2015,08,30,20,00
6,2015,02,16,8,10,2015,07,25,20,00
7,2014,11,26,15,16,2015,08,09,20,00
8,2015,02,12,18,55,2015,01,10,20,00
9,2015,08,23,18,27,2015,09,10,20,00
10,2015,10,05,12,55,2014,12,24,20,00
11,2015,09,17,14,29,2015,11,17,20,00
12,2015,10,22,14,01,2015,11,23,20,00
13,2015,01,07,18,56,2015,11,21,20,00
14,2015,03,26,8,25,2015,05,22,20,00
15,2015,09,19,14,21,2015,06,17,20,00
16,2015,01,13,11,59,2015,01,06,20,00
17,2015,01,12,18,57,2015,11,30,20,00
18,2015,08,26,13,41,2015,01,24,20,00
19,2015,05,11,12,36,2015,04,11,20,00
20,2014,12,07,19,14,2015,06,11,20,00
21,2014,12,20,10,51,2015,04,05,20,00
22,2015,07,05,12,05,2015,02,22,20,00
23,2015,07,05,8,07,2015,04,22,20,00
24,2014,11,25,13,08,2015,05,04,20,00
25,2015,04,16,17,52,2015,06,12,20,00
26,2015,07,10,16,14,2015,10,15,20,00
27,2015,02,26,19,01,2015,12,10,20,00
28,2015,02,28,8,54,2015,09,27,20,00
29,2014,12,20,9,35,2015,09,23,20,00
30,2015,08,27,9,16,2015,04,18,20,00
